po_id,supplier,order_date,delivery_date,item_category,order_status,quantity,unit_price,negotiated_price,defective_units,compliance,lead_time_days,total_cost,negotiated_total_cost,cost_savings,defect_rate,status_score,status_risk,compliance_score,compliance_risk,risk_score,risk_level
po-00018,epsilon_group,2022-08-27,2022-09-04,raw materials,delivered,921,51.48,50.61,0.0,yes,8,47413.079999999994,46611.81,801.2699999999968,0.0,1.0,0.0,1,0,2.0,Low
po-00019,gamma_co,2023-06-02,2023-06-05,raw materials,partially delivered,1737,97.53,87.37,79.0,yes,3,169409.61000000002,151761.69,17647.920000000013,4.548071387449626,0.5,50.0,1,0,14.614421416234887,Medium
po-00020,delta_logistics,2023-09-09,2023-09-24,raw materials,delivered,180,45.74,38.89,0.0,no,15,8233.2,7000.2,1233.000000000001,0.0,1.0,0.0,0,100,23.75,Medium
po-00021,epsilon_group,2022-01-28,2022-02-12,electronics,cancelled,1735,20.54,19.69,49.0,yes,15,35636.9,34162.15,1474.75,2.824207492795389,0.0,100.0,1,0,29.597262247838618,High
po-00022,delta_logistics,2023-07-29,2023-08-11,raw materials,delivered,1382,24.93,23.75,0.0,yes,13,34453.26,32822.5,1630.760000000002,0.0,1.0,0.0,1,0,3.25,Low
po-00023,epsilon_group,2022-07-23,2022-08-08,mro,delivered,819,80.89,77.03,29.0,yes,16,66248.91,63087.57,3161.340000000004,3.5409035409035408,1.0,0.0,1,0,5.062271062271062,Low
po-00024,beta_supplies,2023-10-28,2023-11-03,office supplies,partially delivered,393,72.53,66.31,42.0,no,6,28504.29,26059.83,2444.459999999999,10.687022900763358,0.5,50.0,0,100,37.20610687022901,High
po-00025,beta_supplies,2023-12-20,2024-01-01,mro,delivered,1565,21.3,20.09,161.0,yes,12,33334.5,31440.85,1893.6500000000015,10.287539936102236,1.0,0.0,1,0,6.08626198083067,Low
po-00026,epsilon_group,2023-07-13,2023-07-24,packaging,delivered,1487,19.15,17.24,0.0,yes,11,28476.05,25635.879999999997,2840.170000000002,0.0,1.0,0.0,1,0,2.75,Low
po-00027,alpha_inc,2023-03-06,2023-03-26,mro,delivered,855,78.2,67.16,17.0,yes,20,66861.0,57421.799999999996,9439.200000000004,1.9883040935672516,1.0,0.0,1,0,5.5964912280701755,Low
po-00028,epsilon_group,2022-08-14,2022-08-23,raw materials,delivered,435,17.13,15.84,8.0,yes,9,7451.549999999999,6890.4,561.1499999999996,1.839080459770115,1.0,0.0,1,0,2.8017241379310347,Low
po-00029,delta_logistics,2023-04-05,2023-04-22,mro,delivered,1265,90.26,79.47,187.0,yes,17,114178.90000000001,100529.55,13649.350000000006,14.782608695652174,1.0,0.0,1,0,8.684782608695652,Low
po-00030,epsilon_group,2023-08-27,2022-02-13,mro,delivered,1005,80.55,73.31,30.0,yes,-560,80952.75,73676.55,7276.199999999997,2.9850746268656714,1.0,0.0,1,0,-139.1044776119403,
po-00031,gamma_co,2022-10-12,2022-10-26,electronics,delivered,326,18.1,15.92,0.0,no,14,5900.6,5189.92,710.6800000000003,0.0,1.0,0.0,0,100,23.5,Medium
po-00032,alpha_inc,2022-01-07,2022-01-15,office supplies,delivered,1234,17.64,15.66,26.0,yes,8,21767.760000000002,19324.44,2443.3200000000033,2.106969205834684,1.0,0.0,1,0,2.6320907617504052,Low
po-00033,epsilon_group,2022-06-13,2022-06-29,mro,delivered,509,101.27,97.82,19.0,yes,16,51546.43,49790.38,1756.050000000003,3.732809430255403,1.0,0.0,1,0,5.119842829076621,Low
po-00034,alpha_inc,2023-12-16,2023-12-17,packaging,delivered,1387,48.71,43.71,27.0,yes,1,67560.77,60625.770000000004,6935.0,1.9466474405191059,1.0,0.0,1,0,0.8339942321557318,Low
po-00035,alpha_inc,2023-03-09,2023-03-17,mro,delivered,71,46.39,43.18,0.0,yes,8,3293.69,3065.78,227.90999999999985,0.0,1.0,0.0,1,0,2.0,Low
po-00036,epsilon_group,2022-12-15,2022-12-23,office supplies,delivered,302,87.73,81.52,9.0,yes,8,26494.460000000003,24619.039999999997,1875.4200000000055,2.980132450331126,1.0,0.0,1,0,2.8940397350993377,Low
po-00037,epsilon_group,2022-10-12,2022-10-31,office supplies,pending,797,99.54,91.37,18.0,yes,19,79333.38,72821.89,6511.490000000005,2.258469259723965,0.3,70.0,1,0,22.92754077791719,Medium
po-00038,beta_supplies,2022-06-09,2022-06-27,office supplies,pending,906,101.21,90.9,94.0,yes,18,91696.26,82355.40000000001,9340.859999999986,10.375275938189846,0.3,70.0,1,0,25.112582781456954,High
po-00039,epsilon_group,2022-08-09,2022-08-23,office supplies,delivered,1634,80.53,76.15,50.0,yes,14,131586.02,124429.1,7156.919999999984,3.0599755201958385,1.0,0.0,1,0,4.417992656058751,Low
po-00040,epsilon_group,2022-12-11,2022-02-13,office supplies,delivered,524,46.28,39.65,14.0,yes,-301,24250.72,20776.6,3474.1200000000026,2.6717557251908395,1.0,0.0,1,0,-74.44847328244275,
po-00041,beta_supplies,2022-04-15,2022-04-27,electronics,delivered,1132,17.78,15.36,96.0,yes,12,20126.960000000003,17387.52,2739.4400000000023,8.480565371024735,1.0,0.0,1,0,5.544169611307421,Low
po-00042,beta_supplies,2022-04-05,2022-04-14,office supplies,delivered,560,81.14,77.87,34.0,no,9,45438.4,43607.200000000004,1831.199999999997,6.071428571428571,1.0,0.0,0,100,24.07142857142857,Medium
po-00043,gamma_co,2023-01-25,2023-02-02,electronics,delivered,1755,63.87,58.4,85.0,yes,8,112091.84999999999,102492.0,9599.849999999991,4.843304843304843,1.0,0.0,1,0,3.4529914529914527,Low
po-00044,epsilon_group,2022-04-10,2022-04-17,mro,delivered,1549,48.9,42.42,48.0,yes,7,75746.09999999999,65708.58,10037.51999999999,3.0987734021949644,1.0,0.0,1,0,2.6796320206584894,Low
po-00045,delta_logistics,2023-01-03,2023-01-21,mro,delivered,749,97.07,94.16,123.0,yes,18,72705.43,70525.84,2179.5899999999965,16.421895861148197,1.0,0.0,1,0,9.426568758344459,Low
po-00046,alpha_inc,2022-12-19,2022-02-13,electronics,delivered,1025,21.11,19.25,15.0,yes,-309,21637.75,19731.25,1906.5,1.4634146341463417,1.0,0.0,1,0,-76.8109756097561,
po-00047,beta_supplies,2023-09-11,2023-09-18,raw materials,delivered,1856,59.77,50.81,191.0,yes,7,110933.12000000001,94303.36,16629.76000000001,10.29094827586207,1.0,0.0,1,0,4.837284482758621,Low
po-00048,epsilon_group,2022-09-28,2022-10-14,office supplies,delivered,239,11.46,11.28,4.0,yes,16,2738.94,2695.92,43.01999999999998,1.6736401673640167,1.0,0.0,1,0,4.502092050209205,Low
po-00049,delta_logistics,2022-02-14,2022-03-05,office supplies,pending,1007,52.44,46.06,167.0,yes,19,52807.079999999994,46382.420000000006,6424.659999999989,16.583912611717974,0.3,70.0,1,0,27.22517378351539,High
po-00050,alpha_inc,2023-04-16,2022-02-13,mro,pending,736,16.2,15.33,18.0,yes,-427,11923.199999999999,11282.88,640.3199999999997,2.4456521739130435,0.3,70.0,1,0,-88.5163043478261,
po-00051,epsilon_group,2023-07-04,2023-07-14,electronics,delivered,1007,22.56,19.59,0.0,yes,10,22717.92,19727.13,2990.7899999999972,0.0,1.0,0.0,1,0,2.5,Low
po-00052,delta_logistics,2022-05-08,2022-02-13,office supplies,delivered,612,20.99,19.75,102.0,yes,-84,12845.88,12087.0,758.8799999999992,16.666666666666664,1.0,0.0,1,0,-16.0,
po-00053,alpha_inc,2023-01-23,2023-02-02,mro,pending,1949,72.53,63.26,48.0,no,10,141360.97,123293.73999999999,18067.23000000001,2.4628014366341713,0.3,70.0,0,100,40.73884043099025,High
po-00054,delta_logistics,2022-03-22,2022-03-28,office supplies,cancelled,1640,77.92,76.41,262.0,no,6,127788.8,125312.4,2476.4000000000087,15.975609756097562,0.0,100.0,0,100,51.29268292682927,High
po-00055,beta_supplies,2023-07-20,2023-08-07,electronics,delivered,1317,68.13,60.52,136.0,yes,18,89727.20999999999,79704.84000000001,10022.36999999998,10.32649962034928,1.0,0.0,1,0,7.597949886104784,Low
po-00056,epsilon_group,2022-10-28,2022-10-30,raw materials,delivered,881,100.94,95.05,30.0,yes,2,88928.14,83739.05,5189.0899999999965,3.40522133938706,1.0,0.0,1,0,1.521566401816118,Low
po-00057,delta_logistics,2023-10-06,2022-02-13,packaging,delivered,1578,48.33,42.77,206.0,yes,-600,76264.73999999999,67491.06,8773.679999999993,13.054499366286437,1.0,0.0,1,0,-146.08365019011407,
po-00058,delta_logistics,2023-09-26,2023-10-01,mro,delivered,1204,39.29,35.44,0.0,yes,5,47305.159999999996,42669.759999999995,4635.4000000000015,0.0,1.0,0.0,1,0,1.25,Low
po-00059,epsilon_group,2023-01-06,2023-01-22,mro,pending,1558,93.46,91.27,39.0,yes,16,145610.68,142198.66,3412.0199999999895,2.503209242618742,0.3,70.0,1,0,22.250962772785623,Medium
po-00060,alpha_inc,2023-08-15,2023-08-16,packaging,delivered,1892,32.99,28.81,35.0,yes,1,62417.08,54508.52,7908.560000000005,1.849894291754757,1.0,0.0,1,0,0.804968287526427,Low
po-00061,epsilon_group,2022-07-16,2022-08-01,packaging,delivered,696,99.59,90.18,25.0,yes,16,69314.64,62765.280000000006,6549.359999999993,3.5919540229885056,1.0,0.0,1,0,5.077586206896552,Low
po-00062,delta_logistics,2023-12-23,2024-01-03,mro,partially delivered,70,12.37,11.04,10.0,yes,11,865.9,772.8,93.10000000000002,14.285714285714285,0.5,50.0,1,0,19.535714285714285,Medium
po-00063,gamma_co,2022-03-13,2022-03-15,raw materials,delivered,890,98.26,93.14,49.0,yes,2,87451.40000000001,82894.6,4556.800000000003,5.50561797752809,1.0,0.0,1,0,2.151685393258427,Low
po-00064,alpha_inc,2022-02-16,2022-03-04,mro,delivered,216,13.95,12.31,5.0,yes,16,3013.2,2658.96,354.2399999999998,2.314814814814815,1.0,0.0,1,0,4.694444444444445,Low
po-00065,delta_logistics,2023-11-09,2023-11-12,packaging,delivered,1347,100.13,94.3,200.0,yes,3,134875.11,127022.09999999999,7853.009999999995,14.847809948032664,1.0,0.0,1,0,5.204342984409799,Low
po-00066,gamma_co,2022-08-22,2022-08-25,office supplies,partially delivered,437,59.51,56.45,25.0,no,3,26005.87,24668.65,1337.2199999999975,5.720823798627003,0.5,50.0,0,100,34.966247139588106,High
po-00067,alpha_inc,2022-10-24,2022-10-26,electronics,delivered,650,103.84,88.28,12.0,yes,2,67496.0,57382.0,10114.0,1.8461538461538463,1.0,0.0,1,0,1.0538461538461539,Low
po-00068,beta_supplies,2022-03-23,2022-04-11,office supplies,delivered,365,16.81,15.41,38.0,yes,19,6135.65,5624.65,511.0,10.41095890410959,1.0,0.0,1,0,7.873287671232877,Low
po-00069,epsilon_group,2022-08-27,2022-02-13,raw materials,cancelled,63,61.94,53.8,0.0,yes,-195,3902.22,3389.3999999999996,512.8200000000002,0.0,0.0,100.0,1,0,-23.75,
po-00070,alpha_inc,2022-04-14,2022-04-22,mro,delivered,291,98.7,87.02,9.0,yes,8,28721.7,25322.82,3398.880000000001,3.0927835051546393,1.0,0.0,1,0,2.927835051546392,Low
po-00071,alpha_inc,2023-01-25,2023-02-08,mro,cancelled,826,60.5,57.18,18.0,yes,14,49973.0,47230.68,2742.3199999999997,2.1791767554479415,0.0,100.0,1,0,29.153753026634384,High
po-00072,delta_logistics,2022-10-12,2022-11-01,electronics,pending,1419,69.64,59.28,194.0,yes,20,98819.16,84118.32,14700.839999999997,13.671599718111347,0.3,70.0,1,0,26.601479915433405,High
po-00073,gamma_co,2023-04-10,2023-04-27,office supplies,delivered,614,78.06,73.95,40.0,yes,17,47928.840000000004,45405.3,2523.540000000001,6.514657980456026,1.0,0.0,1,0,6.204397394136808,Low
po-00074,alpha_inc,2023-10-13,2023-10-28,electronics,delivered,947,56.25,54.25,19.0,yes,15,53268.75,51374.75,1894.0,2.0063357972544877,1.0,0.0,1,0,4.3519007391763465,Low
po-00075,epsilon_group,2023-01-09,2023-01-28,raw materials,delivered,1413,70.47,69.65,0.0,yes,19,99574.11,98415.45000000001,1158.659999999989,0.0,1.0,0.0,1,0,4.75,Low
po-00076,alpha_inc,2022-06-16,2022-02-13,office supplies,partially delivered,141,64.15,58.32,0.0,yes,-123,9045.150000000001,8223.12,822.0300000000007,0.0,0.5,50.0,1,0,-18.25,
po-00077,alpha_inc,2023-01-15,2023-02-04,office supplies,delivered,1440,96.57,83.87,36.0,yes,20,139060.8,120772.8,18287.999999999985,2.5,1.0,0.0,1,0,5.75,Low
po-00078,delta_logistics,2022-12-30,2023-01-03,raw materials,delivered,1005,14.87,12.79,0.0,no,4,14944.349999999999,12853.949999999999,2090.3999999999996,0.0,1.0,0.0,0,100,21.0,Medium
po-00079,alpha_inc,2022-08-03,2022-02-13,mro,delivered,1528,36.52,33.0,31.0,no,-171,55802.560000000005,50424.0,5378.560000000005,2.0287958115183247,1.0,0.0,0,100,-22.1413612565445,
po-00080,gamma_co,2023-11-18,2023-11-25,mro,delivered,1501,106.05,100.99,77.0,no,7,159181.05,151585.99,7595.059999999998,5.129913391072619,1.0,0.0,0,100,23.288974017321785,Medium
po-00081,delta_logistics,2022-10-01,2022-10-04,packaging,delivered,558,94.18,81.4,0.0,no,3,52552.44,45421.200000000004,7131.239999999998,0.0,1.0,0.0,0,100,20.75,Medium
po-00082,beta_supplies,2023-12-20,2023-12-26,mro,delivered,825,56.88,50.84,0.0,yes,6,46926.0,41943.0,4983.0,0.0,1.0,0.0,1,0,1.5,Low
po-00083,beta_supplies,2023-12-01,2023-12-07,electronics,cancelled,84,73.38,71.42,9.0,yes,6,6163.92,5999.28,164.64000000000033,10.714285714285714,0.0,100.0,1,0,29.714285714285715,High
po-00084,delta_logistics,2023-10-26,2023-11-10,raw materials,delivered,255,38.64,33.59,27.0,no,15,9853.2,8565.45,1287.75,10.588235294117647,1.0,0.0,0,100,26.926470588235293,High
po-00085,gamma_co,2022-03-15,2022-03-31,mro,delivered,1154,27.2,26.07,58.0,yes,16,31388.8,30084.78,1304.0200000000004,5.025996533795494,1.0,0.0,1,0,5.507798960138648,Low
po-00086,delta_logistics,2023-09-16,2023-09-24,office supplies,delivered,1635,56.91,54.37,262.0,no,8,93047.84999999999,88894.95,4152.899999999994,16.02446483180428,1.0,0.0,0,100,26.807339449541285,High
po-00087,delta_logistics,2023-10-13,2023-10-23,raw materials,delivered,1945,46.19,40.12,278.0,no,10,89839.54999999999,78033.4,11806.149999999994,14.29305912596401,1.0,0.0,0,100,26.787917737789204,High
po-00088,delta_logistics,2022-06-25,2022-07-10,mro,partially delivered,1461,64.09,63.39,228.0,no,15,93635.49,92612.79,1022.7000000000116,15.605749486652979,0.5,50.0,0,100,40.931724845995895,High
po-00089,delta_logistics,2023-07-01,2023-07-09,electronics,delivered,1075,18.53,16.12,147.0,yes,8,19919.75,17329.0,2590.75,13.674418604651162,1.0,0.0,1,0,6.102325581395348,Low
po-00090,alpha_inc,2022-09-08,2022-02-13,packaging,delivered,1071,101.6,93.91,25.0,yes,-207,108813.59999999999,100577.61,8235.98999999999,2.3342670401493932,1.0,0.0,1,0,-51.049719887955185,
po-00091,epsilon_group,2022-06-17,2022-07-06,packaging,pending,1463,101.23,86.17,43.0,yes,19,148099.49000000002,126066.71,22032.780000000013,2.939166097060834,0.3,70.0,1,0,23.13174982911825,Medium
po-00092,beta_supplies,2023-04-19,2023-04-26,raw materials,delivered,615,78.3,73.68,69.0,yes,7,48154.5,45313.200000000004,2841.2999999999956,11.219512195121952,1.0,0.0,1,0,5.115853658536586,Low
po-00093,gamma_co,2023-01-24,2023-02-11,electronics,delivered,1179,61.74,56.28,0.0,yes,18,72791.46,66354.12,6437.340000000011,0.0,1.0,0.0,1,0,4.5,Low
po-00094,alpha_inc,2022-10-04,2022-10-09,electronics,partially delivered,1845,39.56,37.63,45.0,yes,5,72988.2,69427.35,3560.8499999999913,2.4390243902439024,0.5,50.0,1,0,14.481707317073171,Medium
po-00095,beta_supplies,2023-10-18,2022-02-13,electronics,cancelled,1895,91.98,86.27,170.0,yes,-612,174302.1,163481.65,10820.450000000012,8.970976253298153,0.0,100.0,1,0,-125.30870712401057,
po-00096,epsilon_group,2023-12-06,2023-12-09,mro,partially delivered,1550,79.86,69.57,32.0,no,3,123783.0,107833.49999999999,15949.500000000015,2.064516129032258,0.5,50.0,0,100,33.869354838709675,High
po-00097,delta_logistics,2023-07-25,2023-08-04,packaging,delivered,752,26.85,24.37,0.0,no,10,20191.2,18326.24,1864.9599999999991,0.0,1.0,0.0,0,100,22.5,Medium
po-00098,epsilon_group,2022-08-13,2022-09-01,electronics,delivered,451,95.2,90.07,21.0,yes,19,42935.200000000004,40621.57,2313.6300000000047,4.656319290465632,1.0,0.0,1,0,6.146895787139689,Low
po-00099,beta_supplies,2023-12-03,2022-02-13,office supplies,delivered,779,93.69,90.92,66.0,yes,-658,72984.51,70826.68000000001,2157.829999999987,8.472400513478819,1.0,0.0,1,0,-161.95827984595635,
po-00100,beta_supplies,2022-11-29,2022-12-14,mro,pending,1629,100.26,86.44,187.0,no,15,163323.54,140810.76,22512.78,11.479435236341313,0.3,70.0,0,100,44.69383057090239,High
po-00101,alpha_inc,2022-02-27,2022-02-22,office supplies,delivered,211,75.69,65.4,2.0,yes,-5,15970.59,13799.400000000001,2171.1899999999987,0.9478672985781991,1.0,0.0,1,0,-0.9656398104265402,Low
po-00102,alpha_inc,2022-08-23,2022-02-13,office supplies,delivered,251,67.49,64.48,2.0,yes,-191,16939.989999999998,16184.480000000001,755.5099999999966,0.796812749003984,1.0,0.0,1,0,-47.5109561752988,
po-00103,gamma_co,2022-02-02,2022-02-18,raw materials,delivered,1045,47.88,44.65,69.0,yes,16,50034.600000000006,46659.25,3375.350000000006,6.6028708133971294,1.0,0.0,1,0,5.980861244019138,Low
po-00104,delta_logistics,2022-11-20,2022-12-10,mro,delivered,319,98.64,89.15,57.0,yes,20,31466.16,28438.850000000002,3027.3099999999977,17.86833855799373,1.0,0.0,1,0,10.360501567398119,Medium
po-00105,epsilon_group,2023-02-15,2023-03-01,office supplies,partially delivered,1936,93.66,92.24,58.0,yes,14,181325.75999999998,178576.63999999998,2749.1199999999953,2.9958677685950414,0.5,50.0,1,0,16.89876033057851,Medium
po-00106,delta_logistics,2022-10-02,2022-10-22,mro,cancelled,865,14.7,13.14,135.0,no,20,12715.5,11366.1,1349.3999999999996,15.606936416184972,0.0,100.0,0,100,54.68208092485549,High
po-00107,epsilon_group,2022-03-09,2022-03-12,electronics,delivered,1344,12.5,10.87,44.0,yes,3,16800.0,14609.279999999999,2190.720000000001,3.273809523809524,1.0,0.0,1,0,1.7321428571428572,Low
po-00108,delta_logistics,2022-08-05,2022-08-24,raw materials,pending,505,45.42,40.37,62.0,yes,19,22937.100000000002,20386.85,2550.2500000000036,12.277227722772277,0.3,70.0,1,0,25.933168316831683,High
po-00109,beta_supplies,2023-08-04,2023-08-05,packaging,delivered,1535,90.83,78.28,151.0,no,1,139424.05,120159.8,19264.249999999985,9.8371335504886,1.0,0.0,0,100,23.20114006514658,Medium
po-00110,beta_supplies,2022-11-19,2022-02-13,office supplies,delivered,1800,103.8,96.27,166.0,yes,-279,186840.0,173286.0,13554.0,9.222222222222221,1.0,0.0,1,0,-66.98333333333333,
po-00111,delta_logistics,2022-08-06,2022-08-15,raw materials,pending,1325,24.36,22.75,206.0,yes,9,32277.0,30143.75,2133.25,15.547169811320755,0.3,70.0,1,0,24.414150943396226,Medium
po-00112,gamma_co,2023-11-03,2023-11-09,raw materials,delivered,1066,70.45,65.88,56.0,no,6,75099.7,70228.08,4871.619999999995,5.253283302063791,1.0,0.0,0,100,23.075984990619137,Medium
po-00113,beta_supplies,2023-05-27,2023-06-11,raw materials,delivered,1775,47.82,45.86,180.0,yes,15,84880.5,81401.5,3479.0,10.140845070422536,1.0,0.0,1,0,6.79225352112676,Low
po-00114,gamma_co,2023-02-10,2022-02-13,raw materials,partially delivered,345,103.62,98.09,25.0,no,-362,35748.9,33841.05,1907.8499999999985,7.246376811594203,0.5,50.0,0,100,-55.826086956521735,
po-00115,beta_supplies,2023-10-21,2023-11-09,electronics,delivered,1798,94.8,91.83,0.0,yes,19,170450.4,165110.34,5340.059999999998,0.0,1.0,0.0,1,0,4.75,Low
po-00116,alpha_inc,2023-04-15,2023-05-01,mro,delivered,769,91.86,86.55,17.0,yes,16,70640.34,66556.95,4083.3899999999994,2.2106631989596877,1.0,0.0,1,0,4.663198959687906,Low
po-00117,alpha_inc,2022-05-27,2022-02-13,packaging,delivered,1822,53.23,47.49,39.0,yes,-103,96985.06,86526.78,10458.279999999999,2.140504939626784,1.0,0.0,1,0,-25.107848518111965,
po-00118,delta_logistics,2022-09-29,2022-10-13,packaging,delivered,387,49.23,45.41,61.0,yes,14,19052.01,17573.67,1478.3400000000001,15.762273901808785,1.0,0.0,1,0,8.228682170542635,Low
po-00119,epsilon_group,2022-05-23,2022-05-27,mro,delivered,928,35.3,32.52,26.0,yes,4,32758.399999999998,30178.56,2579.8399999999965,2.8017241379310347,1.0,0.0,1,0,1.8405172413793105,Low
po-00120,alpha_inc,2022-09-10,2022-09-21,packaging,partially delivered,1126,15.68,14.97,27.0,yes,11,17655.68,16856.22,799.4599999999991,2.3978685612788633,0.5,50.0,1,0,15.969360568383658,Medium
po-00121,beta_supplies,2023-07-29,2023-08-14,raw materials,cancelled,841,95.73,85.33,81.0,yes,16,80508.93000000001,71762.53,8746.400000000009,9.63139120095125,0.0,100.0,1,0,31.889417360285375,High
po-00122,beta_supplies,2023-07-06,2023-07-19,electronics,delivered,1995,90.65,77.75,206.0,yes,13,180846.75,155111.25,25735.5,10.325814536340852,1.0,0.0,1,0,6.347744360902256,Low
po-00123,alpha_inc,2022-09-27,2022-10-15,raw materials,delivered,266,103.97,101.44,6.0,yes,18,27656.02,26983.04,672.9799999999996,2.2556390977443606,1.0,0.0,1,0,5.176691729323308,Low
po-00124,alpha_inc,2023-08-22,2023-08-25,raw materials,cancelled,813,109.17,107.39,14.0,yes,3,88755.21,87308.07,1447.1399999999994,1.7220172201722017,0.0,100.0,1,0,26.26660516605166,High
po-00125,epsilon_group,2023-03-15,2023-03-26,electronics,delivered,237,64.19,59.01,7.0,yes,11,15213.029999999999,13985.369999999999,1227.6599999999999,2.9535864978902953,1.0,0.0,1,0,3.6360759493670884,Low
po-00126,alpha_inc,2023-08-21,2023-09-03,office supplies,cancelled,429,86.73,75.09,9.0,yes,13,37207.17,32213.61,4993.559999999998,2.097902097902098,0.0,100.0,1,0,28.87937062937063,High
po-00127,delta_logistics,2023-02-13,2023-02-14,packaging,delivered,542,101.21,93.11,78.0,no,1,54855.82,50465.62,4390.199999999997,14.391143911439114,1.0,0.0,0,100,24.567343173431734,Medium
po-00128,epsilon_group,2023-01-06,2023-01-24,electronics,delivered,1114,91.66,85.53,35.0,yes,18,102109.23999999999,95280.42,6828.819999999992,3.141831238779174,1.0,0.0,1,0,5.442549371633752,Low
po-00129,alpha_inc,2022-08-13,2022-08-15,mro,delivered,1230,33.39,30.85,26.0,yes,2,41069.7,37945.5,3124.199999999997,2.113821138211382,1.0,0.0,1,0,1.1341463414634148,Low
po-00130,beta_supplies,2022-05-22,2022-06-03,mro,delivered,64,51.56,50.88,5.0,yes,12,3299.84,3256.32,43.51999999999998,7.8125,1.0,0.0,1,0,5.34375,Low
po-00131,alpha_inc,2023-06-06,2023-06-22,mro,delivered,1886,23.46,23.18,0.0,yes,16,44245.560000000005,43717.479999999996,528.080000000009,0.0,1.0,0.0,1,0,4.0,Low
po-00132,delta_logistics,2023-05-21,2023-05-23,office supplies,delivered,114,103.53,101.54,14.0,yes,2,11802.42,11575.560000000001,226.85999999999876,12.280701754385964,1.0,0.0,1,0,4.184210526315789,Low
po-00133,delta_logistics,2022-04-04,2022-04-22,electronics,cancelled,1930,65.52,56.9,282.0,yes,18,126453.59999999999,109817.0,16636.59999999999,14.61139896373057,0.0,100.0,1,0,33.88341968911917,High
